id,parent,iso3166-1:alpha2,name,urls,iso3166-2,short_code
antarctica,,['AQ'],Antarctica,"{'pbf': 'https://download.geofabrik.de/antarctica-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/antarctica-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/antarctica-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/antarctica-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/antarctica-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/antarctica/', 'updates': 'https://download.geofabrik.de/antarctica-updates'}",,AQ
aquitaine,france,,Aquitaine,"{'pbf': 'https://download.geofabrik.de/europe/france/aquitaine-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/france/aquitaine-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/france/aquitaine-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/france/aquitaine-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/france/aquitaine-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/france/aquitaine/', 'updates': 'https://download.geofabrik.de/europe/france/aquitaine-updates'}",,
aragon,spain,,Aragón,"{'pbf': 'https://download.geofabrik.de/europe/spain/aragon-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/spain/aragon-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/spain/aragon-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/spain/aragon-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/spain/aragon-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/spain/aragon/', 'updates': 'https://download.geofabrik.de/europe/spain/aragon-updates'}",,
argentina,south-america,['AR'],Argentina,"{'pbf': 'https://download.geofabrik.de/south-america/argentina-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/south-america/argentina-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/south-america/argentina-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/south-america/argentina-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/south-america/argentina-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/south-america/argentina/', 'updates': 'https://download.geofabrik.de/south-america/argentina-updates'}",,AR
armenia,asia,['AM'],Armenia,"{'pbf': 'https://download.geofabrik.de/asia/armenia-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/asia/armenia-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/asia/armenia-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/asia/armenia-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/asia/armenia-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/asia/armenia/', 'updates': 'https://download.geofabrik.de/asia/armenia-updates'}",,AM
arnsberg-regbez,nordrhein-westfalen,,Regierungsbezirk Arnsberg,"{'pbf': 'https://download.geofabrik.de/europe/germany/nordrhein-westfalen/arnsberg-regbez-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/germany/nordrhein-westfalen/arnsberg-regbez-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/germany/nordrhein-westfalen/arnsberg-regbez-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/germany/nordrhein-westfalen/arnsberg-regbez-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/germany/nordrhein-westfalen/arnsberg-regbez-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/germany/nordrhein-westfalen/arnsberg-regbez/', 'updates': 'https://download.geofabrik.de/europe/germany/nordrhein-westfalen/arnsberg-regbez-updates'}",,
asia,,,Asia,"{'pbf': 'https://download.geofabrik.de/asia-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/asia-latest.osm.bz2', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/asia-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/asia-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/asia/', 'updates': 'https://download.geofabrik.de/asia-updates'}",,
asturias,spain,,Asturias,"{'pbf': 'https://download.geofabrik.de/europe/spain/asturias-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/spain/asturias-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/spain/asturias-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/spain/asturias-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/spain/asturias-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/spain/asturias/', 'updates': 'https://download.geofabrik.de/europe/spain/asturias-updates'}",,
australia,australia-oceania,['AU'],Australia,"{'pbf': 'https://download.geofabrik.de/australia-oceania/australia-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/australia-oceania/australia-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/australia-oceania/australia-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/australia-oceania/australia-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/australia-oceania/australia-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/australia-oceania/australia/', 'updates': 'https://download.geofabrik.de/australia-oceania/australia-updates'}",,AU
australia-oceania,,,Australia and Oceania,"{'pbf': 'https://download.geofabrik.de/australia-oceania-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/australia-oceania-latest.osm.bz2', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/australia-oceania-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/australia-oceania-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/australia-oceania/', 'updates': 'https://download.geofabrik.de/australia-oceania-updates'}",,
