id,lonlat,Type,Region,refs,tags.building,tags.building:levels,tags.mapillary,tags.power,tags.roof:shape,tags.source,tags.ref,tags.substation,other_tags
686864062,"[(7.414801599999979, 43.73124309999977), (7.4148323999999795, 43.73121789999977), (7.414846099999981, 43.73122659999977), (7.41487159999998, 43.73124289999977), (7.41487899999998, 43.73124759999977), (7.41484809999998, 43.73127279999977), (7.414801599999979, 43.73124309999977)]",area,MC,"[6438487363, 6438487364, 6438487368, 6438487367, 6438487365, 6438487366, 6438487363]",service,1,288202313023694,substation,flat,survey 2019;BDOrtho IGN 2019,,,
6459866604,"[(7.414885199999985, 43.73303329999991)]",node,MC,,,,157304999600418,substation,,,P208,minor_distribution,
